Ciclo 1: {'Temperatura': 20.13, 'Umidade': 58.15, 'Pressao': 1006.4}
Ciclo 4021: {'Temperatura': 22.79, 'Umidade': 53.72, 'Pressao': 1014.12}
Ciclo 4022: {'Temperatura': 29.82, 'Umidade': 56.74, 'Pressao': 1003.63}
Ciclo 4023: {'Temperatura': 28.52, 'Umidade': 54.54, 'Pressao': 1004.77}
Ciclo 4024: {'Temperatura': 23.07, 'Umidade': 58.54, 'Pressao': 1019.15}
Ciclo 4025: {'Temperatura': 26.31, 'Umidade': 49.1, 'Pressao': 1009.01}
Ciclo 4026: {'Temperatura': 27.02, 'Umidade': 40.83, 'Pressao': 1001.0}
Ciclo 4027: {'Temperatura': 25.17, 'Umidade': 46.16, 'Pressao': 1005.65}
Ciclo 4028: {'Temperatura': 22.43, 'Umidade': 41.51, 'Pressao': 1006.3}
Ciclo 4029: {'Temperatura': 28.96, 'Umidade': 48.51, 'Pressao': 1008.59}
Ciclo 4030: {'Temperatura': 26.17, 'Umidade': 57.71, 'Pressao': 1014.61}
Ciclo 4031: {'Temperatura': 25.82, 'Umidade': 52.3, 'Pressao': 1011.88}
Ciclo 4032: {'Temperatura': 27.82, 'Umidade': 59.45, 'Pressao': 1010.11}
Ciclo 4033: {'Temperatura': 28.28, 'Umidade': 47.72, 'Pressao': 1008.15}
Ciclo 4034: {'Temperatura': 29.13, 'Umidade': 44.78, 'Pressao': 1005.61}
Ciclo 4035: {'Temperatura': 21.44, 'Umidade': 41.51, 'Pressao': 1017.4}
Ciclo 4036: {'Temperatura': 21.91, 'Umidade': 43.59, 'Pressao': 1013.04}
Ciclo 4037: {'Temperatura': 27.88, 'Umidade': 45.57, 'Pressao': 1001.53}
Ciclo 4038: {'Temperatura': 25.07, 'Umidade': 46.63, 'Pressao': 1013.88}
Ciclo 4039: {'Temperatura': 29.44, 'Umidade': 43.04, 'Pressao': 1016.15}
Ciclo 4040: {'Temperatura': 24.26, 'Umidade': 46.82, 'Pressao': 1002.99}
Ciclo 4041: {'Temperatura': 25.87, 'Umidade': 41.4, 'Pressao': 1017.74}
Ciclo 4042: {'Temperatura': 23.27, 'Umidade': 44.65, 'Pressao': 1001.04}
Ciclo 4043: {'Temperatura': 29.53, 'Umidade': 41.49, 'Pressao': 1016.73}
Ciclo 4044: {'Temperatura': 28.45, 'Umidade': 41.46, 'Pressao': 1002.1}
Ciclo 4045: {'Temperatura': 28.21, 'Umidade': 42.29, 'Pressao': 1005.69}
Ciclo 4046: {'Temperatura': 27.05, 'Umidade': 41.02, 'Pressao': 1010.27}
Ciclo 4047: {'Temperatura': 20.73, 'Umidade': 49.64, 'Pressao': 1015.21}
Ciclo 4048: {'Temperatura': 27.35, 'Umidade': 49.07, 'Pressao': 1000.35}
Ciclo 4049: {'Temperatura': 26.99, 'Umidade': 41.07, 'Pressao': 1018.61}
Ciclo 4050: {'Temperatura': 24.82, 'Umidade': 48.61, 'Pressao': 1004.52}
Ciclo 4051: {'Temperatura': 27.51, 'Umidade': 56.77, 'Pressao': 1019.73}
Ciclo 4052: {'Temperatura': 26.03, 'Umidade': 51.11, 'Pressao': 1001.01}
Ciclo 4053: {'Temperatura': 27.18, 'Umidade': 42.31, 'Pressao': 1005.56}
Ciclo 4054: {'Temperatura': 29.57, 'Umidade': 55.25, 'Pressao': 1019.93}
Ciclo 4055: {'Temperatura': 23.04, 'Umidade': 57.52, 'Pressao': 1002.16}
Ciclo 4056: {'Temperatura': 27.64, 'Umidade': 55.79, 'Pressao': 1013.99}
Ciclo 4057: {'Temperatura': 20.75, 'Umidade': 47.06, 'Pressao': 1012.9}
Ciclo 4058: {'Temperatura': 22.04, 'Umidade': 46.11, 'Pressao': 1005.47}
Ciclo 4059: {'Temperatura': 21.42, 'Umidade': 48.81, 'Pressao': 1007.86}
Ciclo 4060: {'Temperatura': 24.01, 'Umidade': 56.12, 'Pressao': 1005.54}
Ciclo 4061: {'Temperatura': 26.16, 'Umidade': 48.12, 'Pressao': 1016.26}
Ciclo 4062: {'Temperatura': 22.18, 'Umidade': 44.12, 'Pressao': 1016.48}
Ciclo 4063: {'Temperatura': 29.37, 'Umidade': 48.56, 'Pressao': 1003.48}
Ciclo 4064: {'Temperatura': 28.87, 'Umidade': 43.24, 'Pressao': 1015.86}
Ciclo 4065: {'Temperatura': 26.32, 'Umidade': 56.06, 'Pressao': 1003.38}
Ciclo 4066: {'Temperatura': 24.57, 'Umidade': 59.94, 'Pressao': 1015.28}
Ciclo 4067: {'Temperatura': 21.25, 'Umidade': 43.72, 'Pressao': 1015.89}
Ciclo 4068: {'Temperatura': 28.99, 'Umidade': 45.36, 'Pressao': 1017.94}
Ciclo 4069: {'Temperatura': 24.32, 'Umidade': 51.74, 'Pressao': 1018.15}
Ciclo 4070: {'Temperatura': 21.74, 'Umidade': 40.12, 'Pressao': 1010.91}
Ciclo 4071: {'Temperatura': 27.49, 'Umidade': 44.6, 'Pressao': 1019.62}
Ciclo 4072: {'Temperatura': 26.53, 'Umidade': 54.34, 'Pressao': 1013.52}
Ciclo 4073: {'Temperatura': 21.93, 'Umidade': 59.29, 'Pressao': 1001.88}
Ciclo 4074: {'Temperatura': 22.96, 'Umidade': 52.26, 'Pressao': 1003.08}
Ciclo 4075: {'Temperatura': 28.49, 'Umidade': 46.47, 'Pressao': 1005.11}
Ciclo 4076: {'Temperatura': 25.2, 'Umidade': 45.86, 'Pressao': 1014.81}
Ciclo 4077: {'Temperatura': 23.68, 'Umidade': 59.17, 'Pressao': 1008.59}
Ciclo 4078: {'Temperatura': 29.09, 'Umidade': 56.36, 'Pressao': 1010.24}
Ciclo 4079: {'Temperatura': 21.38, 'Umidade': 41.0, 'Pressao': 1018.23}
Ciclo 4080: {'Temperatura': 26.24, 'Umidade': 42.59, 'Pressao': 1010.71}
Ciclo 4081: {'Temperatura': 28.85, 'Umidade': 50.89, 'Pressao': 1003.84}
Ciclo 4082: {'Temperatura': 26.93, 'Umidade': 54.04, 'Pressao': 1011.35}
Ciclo 4083: {'Temperatura': 28.02, 'Umidade': 50.02, 'Pressao': 1010.15}
Ciclo 4084: {'Temperatura': 25.89, 'Umidade': 52.58, 'Pressao': 1004.48}
Ciclo 4085: {'Temperatura': 27.69, 'Umidade': 44.07, 'Pressao': 1003.27}
Ciclo 4086: {'Temperatura': 27.06, 'Umidade': 49.5, 'Pressao': 1012.92}
Ciclo 4087: {'Temperatura': 29.44, 'Umidade': 45.58, 'Pressao': 1005.58}
Ciclo 4088: {'Temperatura': 27.81, 'Umidade': 49.29, 'Pressao': 1016.21}
Ciclo 4089: {'Temperatura': 25.61, 'Umidade': 46.8, 'Pressao': 1013.91}
Ciclo 4090: {'Temperatura': 24.26, 'Umidade': 50.62, 'Pressao': 1002.78}
Ciclo 4091: {'Temperatura': 20.8, 'Umidade': 54.55, 'Pressao': 1010.55}
Ciclo 4092: {'Temperatura': 24.03, 'Umidade': 48.9, 'Pressao': 1008.34}
Ciclo 4093: {'Temperatura': 25.6, 'Umidade': 53.84, 'Pressao': 1015.32}
Ciclo 4094: {'Temperatura': 22.42, 'Umidade': 44.27, 'Pressao': 1004.27}
Ciclo 4095: {'Temperatura': 29.13, 'Umidade': 42.97, 'Pressao': 1015.77}
Ciclo 4096: {'Temperatura': 27.82, 'Umidade': 41.15, 'Pressao': 1015.5}
Ciclo 4097: {'Temperatura': 26.44, 'Umidade': 56.31, 'Pressao': 1019.38}
Ciclo 4098: {'Temperatura': 22.66, 'Umidade': 50.67, 'Pressao': 1014.8}
Ciclo 4099: {'Temperatura': 24.53, 'Umidade': 52.4, 'Pressao': 1009.14}
Ciclo 4100: {'Temperatura': 22.98, 'Umidade': 44.53, 'Pressao': 1011.32}
Ciclo 4101: {'Temperatura': 28.67, 'Umidade': 43.83, 'Pressao': 1018.46}
Ciclo 4102: {'Temperatura': 24.55, 'Umidade': 59.32, 'Pressao': 1001.23}
Ciclo 4103: {'Temperatura': 24.87, 'Umidade': 55.9, 'Pressao': 1019.44}
Ciclo 4104: {'Temperatura': 25.37, 'Umidade': 49.08, 'Pressao': 1010.03}
Ciclo 4105: {'Temperatura': 26.88, 'Umidade': 41.01, 'Pressao': 1009.11}
Ciclo 4106: {'Temperatura': 23.05, 'Umidade': 46.61, 'Pressao': 1018.35}
Ciclo 4107: {'Temperatura': 25.28, 'Umidade': 48.69, 'Pressao': 1005.09}
Ciclo 4108: {'Temperatura': 25.48, 'Umidade': 46.67, 'Pressao': 1003.21}
Ciclo 4109: {'Temperatura': 25.91, 'Umidade': 56.36, 'Pressao': 1019.36}
Ciclo 4110: {'Temperatura': 22.14, 'Umidade': 59.04, 'Pressao': 1013.73}
Ciclo 4111: {'Temperatura': 25.75, 'Umidade': 40.83, 'Pressao': 1001.89}
Ciclo 4112: {'Temperatura': 28.61, 'Umidade': 59.79, 'Pressao': 1019.34}
Ciclo 4113: {'Temperatura': 20.56, 'Umidade': 48.79, 'Pressao': 1010.06}
Ciclo 4114: {'Temperatura': 23.12, 'Umidade': 52.63, 'Pressao': 1014.09}
Ciclo 4115: {'Temperatura': 20.74, 'Umidade': 42.2, 'Pressao': 1007.73}
Ciclo 4116: {'Temperatura': 21.61, 'Umidade': 50.16, 'Pressao': 1008.96}
Ciclo 4117: {'Temperatura': 25.23, 'Umidade': 46.3, 'Pressao': 1013.66}
Ciclo 4118: {'Temperatura': 22.98, 'Umidade': 55.35, 'Pressao': 1006.26}
Ciclo 4119: {'Temperatura': 21.09, 'Umidade': 40.47, 'Pressao': 1014.7}
Ciclo 4120: {'Temperatura': 27.13, 'Umidade': 49.22, 'Pressao': 1006.92}
Ciclo 4121: {'Temperatura': 24.79, 'Umidade': 46.26, 'Pressao': 1012.83}
Ciclo 4122: {'Temperatura': 20.92, 'Umidade': 41.45, 'Pressao': 1003.16}
Ciclo 4123: {'Temperatura': 20.47, 'Umidade': 45.83, 'Pressao': 1019.81}
Ciclo 4124: {'Temperatura': 26.0, 'Umidade': 50.64, 'Pressao': 1009.58}
Ciclo 4125: {'Temperatura': 27.32, 'Umidade': 50.71, 'Pressao': 1000.99}
Ciclo 4126: {'Temperatura': 20.94, 'Umidade': 42.48, 'Pressao': 1015.74}
Ciclo 4127: {'Temperatura': 28.73, 'Umidade': 40.86, 'Pressao': 1004.7}
Ciclo 4128: {'Temperatura': 28.68, 'Umidade': 57.17, 'Pressao': 1007.0}
Ciclo 4129: {'Temperatura': 21.08, 'Umidade': 53.78, 'Pressao': 1018.1}
Ciclo 4130: {'Temperatura': 25.34, 'Umidade': 58.86, 'Pressao': 1018.14}
Ciclo 4131: {'Temperatura': 22.22, 'Umidade': 46.09, 'Pressao': 1007.32}
Ciclo 4132: {'Temperatura': 29.02, 'Umidade': 56.5, 'Pressao': 1001.35}
Ciclo 4133: {'Temperatura': 26.35, 'Umidade': 59.98, 'Pressao': 1003.44}
Ciclo 4134: {'Temperatura': 20.61, 'Umidade': 59.5, 'Pressao': 1006.6}
Ciclo 4135: {'Temperatura': 21.11, 'Umidade': 56.1, 'Pressao': 1014.19}
Ciclo 4136: {'Temperatura': 21.39, 'Umidade': 53.19, 'Pressao': 1014.96}
Ciclo 4137: {'Temperatura': 25.49, 'Umidade': 48.15, 'Pressao': 1004.22}
Ciclo 4138: {'Temperatura': 27.8, 'Umidade': 45.65, 'Pressao': 1019.4}
Ciclo 4139: {'Temperatura': 26.54, 'Umidade': 53.55, 'Pressao': 1015.21}
Ciclo 4140: {'Temperatura': 21.84, 'Umidade': 52.07, 'Pressao': 1018.53}
Ciclo 4141: {'Temperatura': 20.07, 'Umidade': 45.52, 'Pressao': 1014.41}
Ciclo 4142: {'Temperatura': 25.56, 'Umidade': 54.14, 'Pressao': 1017.73}
Ciclo 4143: {'Temperatura': 29.53, 'Umidade': 58.64, 'Pressao': 1006.61}
Ciclo 4144: {'Temperatura': 29.14, 'Umidade': 45.49, 'Pressao': 1019.22}
Ciclo 4145: {'Temperatura': 27.45, 'Umidade': 45.1, 'Pressao': 1012.9}
Ciclo 4146: {'Temperatura': 29.79, 'Umidade': 44.34, 'Pressao': 1003.17}
Ciclo 4147: {'Temperatura': 26.19, 'Umidade': 50.28, 'Pressao': 1003.16}
Ciclo 4148: {'Temperatura': 27.29, 'Umidade': 46.69, 'Pressao': 1009.03}
Ciclo 4149: {'Temperatura': 20.75, 'Umidade': 51.62, 'Pressao': 1003.87}
Ciclo 4150: {'Temperatura': 26.45, 'Umidade': 43.06, 'Pressao': 1009.56}
Ciclo 4151: {'Temperatura': 26.88, 'Umidade': 53.21, 'Pressao': 1004.83}
Ciclo 4152: {'Temperatura': 23.54, 'Umidade': 44.94, 'Pressao': 1011.11}
Ciclo 4153: {'Temperatura': 25.84, 'Umidade': 49.03, 'Pressao': 1012.85}
Ciclo 4154: {'Temperatura': 27.45, 'Umidade': 52.86, 'Pressao': 1013.65}
Ciclo 4155: {'Temperatura': 25.58, 'Umidade': 41.28, 'Pressao': 1011.21}
Ciclo 4156: {'Temperatura': 26.11, 'Umidade': 56.62, 'Pressao': 1008.06}
Ciclo 4157: {'Temperatura': 22.16, 'Umidade': 46.56, 'Pressao': 1005.36}
Ciclo 4158: {'Temperatura': 27.88, 'Umidade': 52.09, 'Pressao': 1012.1}
Ciclo 4159: {'Temperatura': 21.11, 'Umidade': 59.27, 'Pressao': 1006.45}
Ciclo 4160: {'Temperatura': 26.54, 'Umidade': 47.69, 'Pressao': 1013.3}
Ciclo 4161: {'Temperatura': 20.94, 'Umidade': 48.23, 'Pressao': 1000.28}
Ciclo 4162: {'Temperatura': 25.5, 'Umidade': 51.87, 'Pressao': 1001.87}
Ciclo 4163: {'Temperatura': 22.96, 'Umidade': 47.66, 'Pressao': 1002.02}
Ciclo 4164: {'Temperatura': 22.06, 'Umidade': 49.48, 'Pressao': 1012.11}
Ciclo 4165: {'Temperatura': 28.62, 'Umidade': 48.21, 'Pressao': 1004.02}
Ciclo 4166: {'Temperatura': 29.37, 'Umidade': 50.25, 'Pressao': 1015.68}
Ciclo 4167: {'Temperatura': 21.32, 'Umidade': 42.54, 'Pressao': 1016.26}
Ciclo 4168: {'Temperatura': 29.47, 'Umidade': 42.54, 'Pressao': 1007.44}
Ciclo 4169: {'Temperatura': 24.59, 'Umidade': 58.88, 'Pressao': 1013.45}
Ciclo 4170: {'Temperatura': 23.39, 'Umidade': 40.63, 'Pressao': 1019.32}
Ciclo 4171: {'Temperatura': 28.25, 'Umidade': 45.84, 'Pressao': 1008.94}
Ciclo 4172: {'Temperatura': 24.53, 'Umidade': 54.66, 'Pressao': 1012.65}
Ciclo 4173: {'Temperatura': 20.73, 'Umidade': 43.9, 'Pressao': 1007.84}
Ciclo 4174: {'Temperatura': 24.76, 'Umidade': 40.06, 'Pressao': 1003.64}
Ciclo 4175: {'Temperatura': 21.65, 'Umidade': 49.41, 'Pressao': 1001.48}
Ciclo 4176: {'Temperatura': 23.07, 'Umidade': 44.73, 'Pressao': 1003.86}
Ciclo 4177: {'Temperatura': 24.03, 'Umidade': 49.17, 'Pressao': 1004.73}
Ciclo 4178: {'Temperatura': 25.88, 'Umidade': 45.18, 'Pressao': 1006.46}
Ciclo 4179: {'Temperatura': 22.6, 'Umidade': 42.23, 'Pressao': 1006.9}
Ciclo 4180: {'Temperatura': 29.25, 'Umidade': 57.14, 'Pressao': 1017.98}
Ciclo 4181: {'Temperatura': 25.45, 'Umidade': 41.72, 'Pressao': 1005.35}
Ciclo 4182: {'Temperatura': 22.54, 'Umidade': 43.82, 'Pressao': 1008.76}
Ciclo 4183: {'Temperatura': 24.6, 'Umidade': 54.64, 'Pressao': 1008.14}
Ciclo 4184: {'Temperatura': 24.45, 'Umidade': 44.54, 'Pressao': 1002.01}
Ciclo 4185: {'Temperatura': 28.65, 'Umidade': 55.29, 'Pressao': 1002.3}
Ciclo 4186: {'Temperatura': 21.09, 'Umidade': 57.76, 'Pressao': 1011.32}
Ciclo 4187: {'Temperatura': 22.36, 'Umidade': 55.15, 'Pressao': 1015.01}
Ciclo 4188: {'Temperatura': 23.06, 'Umidade': 46.64, 'Pressao': 1003.73}
Ciclo 4189: {'Temperatura': 26.55, 'Umidade': 52.78, 'Pressao': 1017.25}
Ciclo 4190: {'Temperatura': 28.0, 'Umidade': 41.24, 'Pressao': 1008.49}
Ciclo 4191: {'Temperatura': 22.37, 'Umidade': 59.43, 'Pressao': 1003.25}
Ciclo 4192: {'Temperatura': 22.72, 'Umidade': 46.77, 'Pressao': 1001.49}
Ciclo 4193: {'Temperatura': 27.82, 'Umidade': 46.11, 'Pressao': 1002.72}
Ciclo 4194: {'Temperatura': 26.81, 'Umidade': 56.63, 'Pressao': 1003.95}
Ciclo 4195: {'Temperatura': 25.21, 'Umidade': 59.67, 'Pressao': 1009.05}
Ciclo 4196: {'Temperatura': 21.04, 'Umidade': 47.09, 'Pressao': 1018.99}
Ciclo 4197: {'Temperatura': 21.78, 'Umidade': 57.25, 'Pressao': 1005.47}
Ciclo 4198: {'Temperatura': 27.07, 'Umidade': 43.79, 'Pressao': 1019.52}
Ciclo 4199: {'Temperatura': 27.29, 'Umidade': 55.54, 'Pressao': 1013.79}
Ciclo 4200: {'Temperatura': 29.69, 'Umidade': 53.42, 'Pressao': 1015.78}
Ciclo 4201: {'Temperatura': 27.78, 'Umidade': 45.24, 'Pressao': 1014.67}
Ciclo 4202: {'Temperatura': 20.74, 'Umidade': 46.3, 'Pressao': 1010.77}
Ciclo 4203: {'Temperatura': 21.29, 'Umidade': 48.74, 'Pressao': 1017.3}
Ciclo 4204: {'Temperatura': 28.69, 'Umidade': 40.03, 'Pressao': 1008.79}
Ciclo 4205: {'Temperatura': 25.21, 'Umidade': 55.5, 'Pressao': 1017.95}
Ciclo 4206: {'Temperatura': 20.4, 'Umidade': 40.07, 'Pressao': 1018.46}
Ciclo 4207: {'Temperatura': 27.71, 'Umidade': 52.89, 'Pressao': 1010.76}
Ciclo 4208: {'Temperatura': 25.97, 'Umidade': 48.76, 'Pressao': 1006.67}
Ciclo 4209: {'Temperatura': 22.49, 'Umidade': 56.09, 'Pressao': 1011.32}
Ciclo 4210: {'Temperatura': 20.88, 'Umidade': 51.97, 'Pressao': 1007.44}
Ciclo 4211: {'Temperatura': 22.15, 'Umidade': 49.52, 'Pressao': 1001.29}
Ciclo 4212: {'Temperatura': 22.76, 'Umidade': 59.12, 'Pressao': 1000.46}
Ciclo 4213: {'Temperatura': 23.48, 'Umidade': 55.81, 'Pressao': 1016.58}
Ciclo 4214: {'Temperatura': 25.54, 'Umidade': 42.67, 'Pressao': 1018.52}
Ciclo 4215: {'Temperatura': 20.41, 'Umidade': 53.06, 'Pressao': 1017.62}
Ciclo 4216: {'Temperatura': 25.88, 'Umidade': 49.36, 'Pressao': 1012.02}
Ciclo 4217: {'Temperatura': 21.04, 'Umidade': 42.33, 'Pressao': 1010.04}
Ciclo 4218: {'Temperatura': 23.52, 'Umidade': 42.73, 'Pressao': 1001.12}
Ciclo 4219: {'Temperatura': 25.17, 'Umidade': 44.83, 'Pressao': 1016.64}
Ciclo 4220: {'Temperatura': 21.62, 'Umidade': 54.78, 'Pressao': 1019.82}
Ciclo 4221: {'Temperatura': 27.87, 'Umidade': 58.78, 'Pressao': 1004.88}
Ciclo 4222: {'Temperatura': 28.45, 'Umidade': 41.75, 'Pressao': 1016.67}
Ciclo 4223: {'Temperatura': 22.22, 'Umidade': 40.55, 'Pressao': 1016.49}
Ciclo 4224: {'Temperatura': 23.25, 'Umidade': 59.77, 'Pressao': 1015.48}
Ciclo 4225: {'Temperatura': 28.93, 'Umidade': 52.33, 'Pressao': 1003.97}
Ciclo 4226: {'Temperatura': 29.4, 'Umidade': 47.92, 'Pressao': 1005.33}
Ciclo 4227: {'Temperatura': 20.77, 'Umidade': 49.37, 'Pressao': 1002.3}
Ciclo 4228: {'Temperatura': 26.44, 'Umidade': 49.42, 'Pressao': 1016.5}
Ciclo 4229: {'Temperatura': 20.13, 'Umidade': 41.32, 'Pressao': 1018.11}
Ciclo 4230: {'Temperatura': 26.72, 'Umidade': 45.0, 'Pressao': 1003.93}
Ciclo 4231: {'Temperatura': 22.44, 'Umidade': 50.17, 'Pressao': 1005.13}
Ciclo 4232: {'Temperatura': 24.19, 'Umidade': 51.47, 'Pressao': 1002.4}
Ciclo 4233: {'Temperatura': 23.02, 'Umidade': 49.03, 'Pressao': 1015.61}
Ciclo 4234: {'Temperatura': 24.2, 'Umidade': 43.6, 'Pressao': 1019.49}
Ciclo 4235: {'Temperatura': 20.6, 'Umidade': 44.47, 'Pressao': 1018.43}
Ciclo 4236: {'Temperatura': 24.18, 'Umidade': 53.3, 'Pressao': 1006.89}
Ciclo 4237: {'Temperatura': 28.67, 'Umidade': 58.32, 'Pressao': 1018.07}
Ciclo 4238: {'Temperatura': 27.46, 'Umidade': 40.28, 'Pressao': 1011.89}
Ciclo 4239: {'Temperatura': 24.61, 'Umidade': 54.45, 'Pressao': 1007.64}
Ciclo 4240: {'Temperatura': 28.85, 'Umidade': 42.72, 'Pressao': 1012.18}
Ciclo 4241: {'Temperatura': 22.35, 'Umidade': 59.25, 'Pressao': 1005.33}
Ciclo 4242: {'Temperatura': 25.03, 'Umidade': 58.39, 'Pressao': 1002.73}
Ciclo 4243: {'Temperatura': 22.26, 'Umidade': 50.27, 'Pressao': 1002.03}
Ciclo 4244: {'Temperatura': 26.38, 'Umidade': 59.68, 'Pressao': 1000.17}
Ciclo 4245: {'Temperatura': 24.85, 'Umidade': 46.66, 'Pressao': 1014.19}
Ciclo 4246: {'Temperatura': 25.32, 'Umidade': 53.61, 'Pressao': 1005.36}
Ciclo 4247: {'Temperatura': 22.28, 'Umidade': 53.67, 'Pressao': 1014.35}
Ciclo 4248: {'Temperatura': 22.33, 'Umidade': 46.42, 'Pressao': 1018.42}
Ciclo 4249: {'Temperatura': 24.82, 'Umidade': 47.04, 'Pressao': 1012.65}
Ciclo 4250: {'Temperatura': 23.0, 'Umidade': 59.38, 'Pressao': 1001.6}
Ciclo 4251: {'Temperatura': 27.34, 'Umidade': 42.94, 'Pressao': 1012.46}
Ciclo 4252: {'Temperatura': 22.25, 'Umidade': 57.73, 'Pressao': 1010.89}
Ciclo 4253: {'Temperatura': 24.89, 'Umidade': 59.57, 'Pressao': 1005.62}
Ciclo 4254: {'Temperatura': 21.84, 'Umidade': 50.26, 'Pressao': 1005.75}
Ciclo 4255: {'Temperatura': 21.38, 'Umidade': 54.48, 'Pressao': 1001.51}
Ciclo 4256: {'Temperatura': 21.46, 'Umidade': 59.41, 'Pressao': 1008.12}
Ciclo 4257: {'Temperatura': 25.91, 'Umidade': 57.61, 'Pressao': 1006.13}
Ciclo 4258: {'Temperatura': 27.42, 'Umidade': 55.46, 'Pressao': 1018.52}
Ciclo 4259: {'Temperatura': 27.89, 'Umidade': 44.89, 'Pressao': 1011.87}
Ciclo 4260: {'Temperatura': 25.95, 'Umidade': 57.78, 'Pressao': 1012.32}
Ciclo 4261: {'Temperatura': 26.55, 'Umidade': 58.02, 'Pressao': 1003.6}
Ciclo 4262: {'Temperatura': 25.08, 'Umidade': 50.01, 'Pressao': 1015.8}
Ciclo 4263: {'Temperatura': 28.52, 'Umidade': 58.84, 'Pressao': 1003.09}
Ciclo 4264: {'Temperatura': 28.69, 'Umidade': 47.26, 'Pressao': 1017.77}
Ciclo 4265: {'Temperatura': 20.8, 'Umidade': 49.85, 'Pressao': 1014.8}
Ciclo 4266: {'Temperatura': 26.28, 'Umidade': 42.05, 'Pressao': 1016.2}
Ciclo 4267: {'Temperatura': 27.06, 'Umidade': 44.29, 'Pressao': 1013.52}
Ciclo 4268: {'Temperatura': 27.27, 'Umidade': 54.41, 'Pressao': 1018.95}
Ciclo 4269: {'Temperatura': 25.97, 'Umidade': 42.25, 'Pressao': 1004.09}
Ciclo 4270: {'Temperatura': 25.06, 'Umidade': 54.46, 'Pressao': 1001.71}
Ciclo 4271: {'Temperatura': 21.7, 'Umidade': 47.83, 'Pressao': 1005.58}
Ciclo 4272: {'Temperatura': 23.14, 'Umidade': 55.51, 'Pressao': 1000.65}
Ciclo 4273: {'Temperatura': 26.11, 'Umidade': 59.46, 'Pressao': 1018.4}
Ciclo 4274: {'Temperatura': 29.7, 'Umidade': 50.51, 'Pressao': 1008.74}
Ciclo 4275: {'Temperatura': 27.66, 'Umidade': 59.94, 'Pressao': 1014.5}
Ciclo 4276: {'Temperatura': 20.52, 'Umidade': 41.01, 'Pressao': 1004.7}
Ciclo 4277: {'Temperatura': 20.71, 'Umidade': 46.94, 'Pressao': 1018.24}
Ciclo 4278: {'Temperatura': 26.32, 'Umidade': 52.13, 'Pressao': 1007.48}
Ciclo 4279: {'Temperatura': 29.95, 'Umidade': 44.52, 'Pressao': 1018.98}
Ciclo 4280: {'Temperatura': 22.69, 'Umidade': 57.89, 'Pressao': 1007.19}
Ciclo 4281: {'Temperatura': 29.1, 'Umidade': 40.02, 'Pressao': 1011.71}
Ciclo 4282: {'Temperatura': 20.88, 'Umidade': 50.94, 'Pressao': 1008.92}
Ciclo 4283: {'Temperatura': 27.7, 'Umidade': 41.96, 'Pressao': 1002.47}
Ciclo 4284: {'Temperatura': 21.7, 'Umidade': 40.66, 'Pressao': 1009.47}
Ciclo 4285: {'Temperatura': 23.42, 'Umidade': 49.12, 'Pressao': 1000.47}
Ciclo 4286: {'Temperatura': 21.72, 'Umidade': 53.94, 'Pressao': 1001.82}
Ciclo 4287: {'Temperatura': 26.24, 'Umidade': 53.22, 'Pressao': 1011.27}
Ciclo 4288: {'Temperatura': 20.64, 'Umidade': 42.07, 'Pressao': 1010.63}
Ciclo 4289: {'Temperatura': 21.87, 'Umidade': 50.45, 'Pressao': 1016.15}
Ciclo 4290: {'Temperatura': 22.36, 'Umidade': 45.54, 'Pressao': 1000.48}
Ciclo 4291: {'Temperatura': 27.41, 'Umidade': 56.71, 'Pressao': 1003.34}
Ciclo 4292: {'Temperatura': 20.37, 'Umidade': 40.85, 'Pressao': 1005.54}
Ciclo 4293: {'Temperatura': 24.42, 'Umidade': 47.02, 'Pressao': 1005.37}
Ciclo 4294: {'Temperatura': 20.12, 'Umidade': 50.03, 'Pressao': 1014.66}
Ciclo 4295: {'Temperatura': 21.1, 'Umidade': 43.32, 'Pressao': 1010.06}
Ciclo 4296: {'Temperatura': 27.86, 'Umidade': 41.0, 'Pressao': 1014.3}
Ciclo 4297: {'Temperatura': 21.08, 'Umidade': 42.58, 'Pressao': 1013.29}
Ciclo 4298: {'Temperatura': 23.98, 'Umidade': 55.44, 'Pressao': 1002.5}
Ciclo 4299: {'Temperatura': 27.96, 'Umidade': 59.35, 'Pressao': 1003.16}
Ciclo 4300: {'Temperatura': 29.52, 'Umidade': 57.85, 'Pressao': 1002.25}
Ciclo 4301: {'Temperatura': 25.66, 'Umidade': 56.41, 'Pressao': 1017.66}
Ciclo 4302: {'Temperatura': 22.18, 'Umidade': 53.04, 'Pressao': 1002.26}
Ciclo 4303: {'Temperatura': 26.63, 'Umidade': 47.49, 'Pressao': 1006.5}
Ciclo 4304: {'Temperatura': 26.79, 'Umidade': 55.26, 'Pressao': 1009.83}
Ciclo 4305: {'Temperatura': 20.19, 'Umidade': 48.92, 'Pressao': 1014.31}
Ciclo 4306: {'Temperatura': 24.26, 'Umidade': 40.06, 'Pressao': 1011.19}
Ciclo 4307: {'Temperatura': 22.84, 'Umidade': 43.97, 'Pressao': 1016.06}
Ciclo 4308: {'Temperatura': 29.47, 'Umidade': 46.05, 'Pressao': 1018.29}
Ciclo 4309: {'Temperatura': 27.87, 'Umidade': 49.88, 'Pressao': 1017.61}
Ciclo 4310: {'Temperatura': 23.61, 'Umidade': 51.94, 'Pressao': 1004.6}
